,keyword,fr_count,fr_mean
659,Sittelle torchepot,5973,26.78
660,Solitaire masque,2087,9.36
661,Souimanga siparaja,729,3.27
662,Spatule blanche,2942,13.25
663,Starique de Cassin,129,0.58
664,Sterne arctique,1928,8.68
665,Sterne caspienne,826,3.72
666,Sterne caugek,1280,5.77
667,Sterne de Dougall,1078,4.86
668,Sterne de Forster,466,2.10
669,Sterne diamant,2479,11.17
670,Sterne fuligineuse,1524,6.86
671,Sterne hansel,937,4.22
672,Sterne inca,1379,6.21
673,Sterne naine,1644,7.41
674,Sterne pierregarin,2764,12.45
675,Stourne luisant,167,0.75
676,Strigops kakapo,987,4.45
677,Tadorne casarca,4496,20.25
678,Tadorne de Belon,1894,8.53
679,Tantale ibis,865,3.90
680,Tarin de Magellan,4092,18.35
681,Tarin des aulnes,4248,19.05
682,Tarin des pins,1782,7.99
683,Tarin rouge,3606,16.17
684,Tchitrec du Japon,830,3.74
685,Tetras lyre,3886,17.50
686,Tichodrome echelette,1597,7.16
687,Tisserin gendarme,1474,6.61
688,Todier de Cuba,824,3.71
689,Torcol fourmilier,2353,10.60
690,Toucan ariel,1256,5.66
691,Toucan bleu,3968,17.87
692,Toucan toco,3934,17.72
693,Toui catherine,2365,10.65
694,Toui celeste,4033,18.17
695,Touraco de Livingstone,1373,6.18
696,Touraco vert,1201,5.41
697,Tourterelle des bois,3193,14.38
698,Tourterelle rieuse,2077,9.36
699,Tourterelle triste,2128,9.59
700,Tourterelle turque,5919,26.66
701,Tragopan de Temminck,761,3.43
702,Tragopan satyre,1114,5.02
703,Traquet isabelle,891,4.00
704,Traquet kurde,835,3.74
705,Traquet motteux,2480,11.12
706,Traquet oreillard,962,4.31
707,Traquet pie,542,2.43
708,Troglodyte arada,339,1.52
709,Troglodyte des rochers,1001,4.49
710,Troglodyte familier,756,3.39
711,Troglodyte mignon,6060,27.17
712,Trogon de Cuba,1428,6.43
713,Trogon elegant,2602,11.72
714,Trogon narina,2691,12.12
715,Tyran tritri,1681,7.57
716,Urubu a tete rouge,1230,5.54
717,Urubu noir,2269,10.22
718,Vanneau huppe,2355,10.61
719,Vanneau sociable,555,2.50
720,Vanneau soldat,657,2.96
721,Vautour africain,2353,10.60
722,Vautour charognard,3845,17.32
723,Vautour fauve,4812,21.68
724,Vautour moine,3446,15.52
725,Vautour oricou,514,2.32
726,Vautour royal,3708,16.70
727,Venturon corse,778,3.49
728,Venturon montagnard,1754,7.87
729,Veuve dominicaine,1575,7.06
730,Vireo melodieux,875,3.94
731,Guillemot marmette,599,2.69
732,Vautour de Ruppell,692,3.10
733,Vautour fauve,4610,20.67
