"","Var1","Freq"
"721","Charmosyna multistriata",6
"722","Charmosyna palmarum",9
"723","Charmosyna rubrigularis",1
"724","Charmosyna toxopei",5
"725","Chasiempis ibidis",13
"726","Chasiempis sandwichensis",13
"727","Chasiempis sclateri",12
"728","Chauna chavaria",16
"729","Chelictinia riocourii",12
"730","Chenonetta finschi",4
"731","Chersophilus duponti",11
"732","Chlamydotis macqueenii",35
"733","Chlamydotis undulata",22
"734","Chlidonias albostriatus",28
"735","Chlidonias niger",8
"736","Chloebia gouldiae",11
"737","Chloephaga rubidiceps",1
"738","Chloridops kona",4
"739","Chloris monguilloti",7
"740","Chlorochrysa nitidissima",9
"741","Chlorocichla prigoginei",4
"742","Chlorodrepanis flava",4
"743","Chlorodrepanis stejnegeri",17
"744","Chlorodrepanis virens",1
"745","Chlorophoneus kupeensis",7
"746","Chlorophoneus olivaceus",1
"747","Chloropicoides rafflesii",11
"748","Chloropipo flavicapilla",3
"749","Chloropsis aurifrons",2
"750","Chloropsis cochinchinensis",4
"751","Chloropsis cyanopogon",10
"752","Chloropsis flavipennis",9
"753","Chloropsis media",4
"754","Chloropsis sonnerati",6
"755","Chloropsis venusta",10
"756","Chlorospingus inornatus",1
"757","Chlorospingus tacarcunae",1
"758","Chlorostilbon bracei",1
"759","Chlorostilbon elegans",4
"760","Chlorostilbon forficatus",3
"761","Chondrohierax uncinatus",5
"762","Chondrohierax wilsonii",8
"763","Chrysocolaptes erythrocephalus",7
"764","Chrysocolaptes strictus",8
"765","Chrysocolaptes xanthocephalus",7
"766","Chrysocorythus mindanensis",1
"767","Chrysoena victor",1
"768","Chrysoena viridis",8
"769","Chrysomma altirostre",15
"770","Chrysophlegma humii",7
"771","Chrysophlegma mentale",5
"772","Cichlocolaptes mazarbarnetti",9
"773","Cichlopsis chubbi",7
"774","Cichlopsis leucogenys",4
"775","Cichlopsis peruviana",4
"776","Cicinnurus respublica",9
"777","Ciconia abdimii",9
"778","Ciconia boyciana",22
"779","Ciconia episcopus",11
"780","Ciconia stormi",9
"781","Cinclodes antarcticus",5
"782","Cinclodes aricomae",13
"783","Cinclodes maculirostris",5
"784","Cinclodes pabsti",4
"785","Cinclodes palliatus",6
"786","Cinclosoma punctatum",1
"787","Cinclus schulzii",9
"788","Cinnyris afer",1
"789","Cinnyris chalybeus",1
"790","Cinnyris loveridgei",4
"791","Cinnyris ludovicensis",1
"792","Cinnyris moreaui",5
"793","Cinnyris neergaardi",7
"794","Cinnyris pembae",1
"795","Cinnyris prigoginei",3
"796","Cinnyris rockefelleri",5
"797","Cinnyris rufipennis",13
"798","Cinnyris stuhlmanni",1
"799","Cinnyris ursulae",4
"800","Cinnyris usambaricus",4
"801","Circaetus beaudouini",11
"802","Circaetus cinereus",12
"803","Circaetus fasciolatus",5
"804","Circaetus gallicus",17
"805","Circaetus pectoralis",4
"806","Circus aeruginosus",22
"807","Circus cyaneus",12
"808","Circus macrosceles",9
"809","Circus macrourus",14
"810","Circus maillardi",19
"811","Circus maurus",18
"812","Circus melanoleucos",4
"813","Circus pygargus",17
"814","Circus spilonotus",13
"815","Ciridops anna",4
"816","Cissa thalassina",10
"817","Cisticola aberdare",9
"818","Cisticola haesitatus",5
"819","Cisticola juncidis",1
"820","Cisticola melanurus",6
"821","Cisticola nigriloris",1
"822","Cisticola subruficapilla",1
"823","Cisticola textrix",1
"824","Cistothorus apolinari",15
"825","Cittura cyanotis",8
"826","Cittura sanghirensis",8
"827","Clanga clanga",28
"828","Clanga hastata",5
"829","Clanga pomarina",12
"830","Clangula hyemalis",17
"831","Cleptornis marchei",16
"832","Clibanornis dendrocolaptoides",12
"833","Clibanornis erythrocephalus",14
"834","Clibanornis rufipectus",7
"835","Climacteris erythrops",1
"836","Climacteris rufus",5
"837","Clytoctantes alixii",12
"838","Clytoctantes atrogularis",5
"839","Clytorhynchus hamlini",4
"840","Clytorhynchus nigrogularis",10
"841","Clytorhynchus sanctaecrucis",6
"842","Cnemathraupis aureodorsalis",5
"843","Cnipodectes superrufus",5
"844","Coccyzus americanus",1
"845","Coccyzus bahamensis",12
"846","Coccyzus ferrugineus",12
"847","Coccyzus rufigularis",13
"848","Cochoa azurea",10
"849","Cochoa beccarii",9
"850","Coeligena consita",9
"851","Coeligena orina",9
"852","Coeligena phalerata",7
"853","Coeligena prunellei",6
"854","Coenocorypha aucklandica",6
"855","Coenocorypha barrierensis",4
"856","Coenocorypha huegeli",6
"857","Coenocorypha iredalei",6
"858","Coenocorypha pusilla",8
"859","Colaptes fernandinae",16
"860","Colaptes oceanicus",4
"861","Colinus virginianus",10
"862","Colius colius",1
"863","Colluricincla boweri",1
"864","Columba albinucha",6
"865","Columba argentina",11
"866","Columba bollii",6
"867","Columba elphinstonii",12
"868","Columba eversmanni",6
"869","Columba janthina",4
"870","Columba jouyi",6
"871","Columba junoniae",17
"872","Columba malherbii",2
"873","Columba oliviae",1
"874","Columba pallidiceps",8
"875","Columba palumboides",9
"876","Columba pollenii",9
"877","Columba punicea",10
"878","Columba thiriouxi",6
