"","count","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation","result.category"
"575",11162,22696712,"Anhinga melanogaster",NA,NA,NA,"NT"
"576",11162,22696719,"Anhinga novaehollandiae",NA,NA,NA,"LC"
"577",11162,22696705,"Anhinga rufa",NA,NA,NA,"LC"
"578",11162,103845698,"Anisognathus flavinucha",NA,NA,NA,"LC"
"579",11162,103845767,"Anisognathus igniventris",NA,NA,NA,"LC"
"580",11162,22722630,"Anisognathus lacrymosus",NA,NA,NA,"LC"
"581",11162,103845827,"Anisognathus lunulatus",NA,NA,NA,"LC"
"582",11162,22722624,"Anisognathus melanogenys",NA,NA,NA,"LC"
"583",11162,22722651,"Anisognathus notabilis",NA,NA,NA,"LC"
"584",11162,103845565,"Anisognathus somptuosus",NA,NA,NA,"LC"
"585",11162,22685527,"Anodorhynchus glaucus",NA,NA,NA,"CR"
"586",11162,22685516,"Anodorhynchus hyacinthinus",NA,NA,NA,"VU"
"587",11162,22685521,"Anodorhynchus leari",NA,NA,NA,"EN"
"588",11162,22719254,"Anomalospiza imberbis",NA,NA,NA,"LC"
"589",11162,22686985,"Anopetia gounellei",NA,NA,NA,"LC"
"590",11162,22731941,"Anorrhinus austeni",NA,NA,NA,"NT"
"591",11162,22682485,"Anorrhinus galeritus",NA,NA,NA,"NT"
"592",11162,22731946,"Anorrhinus tickelli",NA,NA,NA,"NT"
"593",11162,22733705,"Anous albivittus",NA,NA,NA,"LC"
"594",11162,22727746,"Anous ceruleus",NA,NA,NA,"LC"
"595",11162,22694799,"Anous minutus",NA,NA,NA,"LC"
"596",11162,22694794,"Anous stolidus",NA,NA,NA,"LC"
"597",11162,22694805,"Anous tenuirostris",NA,NA,NA,"LC"
"598",11162,22679881,"Anser albifrons",NA,NA,NA,"LC"
"599",11162,22679732,"Anseranas semipalmata",NA,NA,NA,"LC"
"600",11162,22679889,"Anser anser",NA,NA,NA,"LC"
"601",11162,22679872,"Anser brachyrhynchus",NA,NA,NA,"LC"
"602",11162,22679896,"Anser caerulescens",NA,NA,NA,"LC"
"603",11162,22679919,"Anser canagicus",NA,NA,NA,"NT"
"604",11162,22679869,"Anser cygnoid",NA,NA,NA,"VU"
"605",11162,22679886,"Anser erythropus",NA,NA,NA,"VU"
"606",11162,22679875,"Anser fabalis",NA,NA,NA,"LC"
"607",11162,22679893,"Anser indicus",NA,NA,NA,"LC"
"608",11162,22679909,"Anser rossii",NA,NA,NA,"LC"
"609",11162,22709349,"Anthipes monileger",NA,NA,NA,"LC"
"610",11162,22709355,"Anthipes solitaris",NA,NA,NA,"LC"
"611",11162,22717695,"Anthobaphes violacea",NA,NA,NA,"LC"
"612",11162,154809350,"Anthocephala berlepschi",NA,NA,NA,"VU"
"613",11162,154807906,"Anthocephala floriceps",NA,NA,NA,"VU"
"614",11162,22704466,"Anthochaera carunculata",NA,NA,NA,"LC"
"615",11162,22704460,"Anthochaera chrysoptera",NA,NA,NA,"LC"
"616",11162,22704454,"Anthochaera lunulata",NA,NA,NA,"LC"
"617",11162,22704469,"Anthochaera paradoxa",NA,NA,NA,"LC"
