cur_alternate_com_name,sci_name
Nette rousse,Netta rufina
Hybride Canard colvert x Nette rousse,Anas platyrhynchos x Netta rufina
Nette brune,Netta erythrophthalma
Nette demi-deuil,Netta peposaca
Fuligule a dos blanc,Aythya valisineria
Fuligule a tete rouge,Aythya americana
Hybride Canard colvert x Fuligule a tete rouge,Anas platyrhynchos x Aythya americana
Hybride Fuligule a dos blanc x F. a tete rouge,Aythya valisineria x americana
Fuligule milouin,Aythya ferina
Hybride Nette rousse x Fuligule milouin,Netta rufina x Aythya ferina
Fuligule a collier,Aythya collaris
Hybride Fuligule a dos blanc x F. a collier,Aythya valisineria x collaris
Hybride Fuligule a tete rouge x F. a collier,Aythya americana x collaris
Fuligule nyroca,Aythya nyroca
Hybride Nette rousse x Fuligule nyroca,Netta rufina x Aythya nyroca
Hybride Fuligule milouin x F. nyroca,Aythya ferina x nyroca
Fuligule de Madagascar,Aythya innotata
Fuligule de Baer,Aythya baeri
Hybride Fuligule nyroca x F. de Baer,Aythya nyroca x baeri
Fuligule nyroca ou F. de Baer,Aythya nyroca/baeri
Fuligule austral,Aythya australis
Hybride Sarcelle australasienne x Fuligule austral,Anas gracilis x Aythya australis
Fuligule morillon,Aythya fuligula
Hybride Canard colvert x Fuligule morillon,Anas platyrhynchos x Aythya fuligula
Hybride Nette rousse x Fuligule morillon,Netta rufina x Aythya fuligula
Hybride Fuligule milouin x F. morillon,Aythya ferina x fuligula
Hybride Fuligule a collier x F. morillon,Aythya collaris x fuligula
Hybride Fuligule nyroca x F. morillon,Aythya nyroca x fuligula
Fuligule de Nouvelle-Zelande,Aythya novaeseelandiae
Fuligule milouinan,Aythya marila
Hybride Fuligule a tete rouge x F. milouinan,Aythya americana x marila
Hybride Fuligule a collier x F. milouinan,Aythya collaris x marila
Hybride Fuligule morillon x F. milouinan,Aythya fuligula x marila
Petit Fuligule,Aythya affinis
Hybride Fuligule a tete rouge x Petit Fuligule,Aythya americana x affinis
Hybride Fuligule a collier x Petit Fuligule,Aythya collaris x affinis
