,species,English.name,French.name,Spanish.name
324,Crossoptilon crossoptilon,White Eared-pheasant,Hokki blanc,Faisan Orejudo Blanco
325,Crossoptilon harmani,Tibetan Eared-pheasant,Hokki du Tibet,Faisan Orejudo Gris
326,Crossoptilon mantchuricum,Brown Eared-pheasant,Hokki brun,Faisan Orejudo Pardo
327,Crossoptilon auritum,Blue Eared-pheasant,Hokki bleu,Faisan Orejudo Azul
328,Catreus wallichii,Cheer Pheasant,Faisan de Wallich,Faisan Chir
329,Lophura leucomelanos,Kalij Pheasant,Faisan leucomele,Faisan Kalij
330,Lophura nycthemera,Silver Pheasant,Faisan argente,Faisan Plateado
331,Lophura edwardsi,Vietnam Pheasant,Faisan d'Edwards,Faisan de Edwards
332,Lophura swinhoii,Swinhoe's Pheasant,Faisan de Swinhoe,Faisan de Swinhoe
333,Lophura inornata,Salvadori's Pheasant,Faisan de Salvadori,Faisan Sencillo
334,Lophura erythrophthalma,Malay Crestless Fireback,Faisan a queue rousse,Faisan Colicanelo
335,Lophura pyronota,Bornean Crestless Fireback,NA,NA
336,Lophura ignita,Bornean Crested Fireback,Faisan noble,Faisan Noble de Borneo
337,Lophura rufa,Malay Crested Fireback,NA,NA
338,Lophura diardi,Siamese Fireback,Faisan prelat,Faisan Siames
339,Lophura bulweri,Bulwer's Pheasant,Faisan de Bulwer,Faisan Coliblanco
340,Perdix perdix,Grey Partridge,Perdrix grise,Perdiz Pardilla
341,Perdix dauurica,Daurian Partridge,Perdrix de Daourie,Perdiz Daurica
342,Perdix hodgsoniae,Tibetan Partridge,Perdrix de Hodgson,Perdiz Tibetana
343,Meleagris gallopavo,Wild Turkey,Dindon sauvage,Guajolote Gallipavo
344,Meleagris ocellata,Ocellated Turkey,Dindon ocelle,Guajolote Ocelado
345,Bonasa umbellus,Ruffed Grouse,Gelinotte huppee,Grevol Engolado
346,Bonasa bonasia,Hazel Grouse,NA,NA
347,Bonasa sewerzowi,Chinese Grouse,NA,NA
348,Lagopus lagopus,Willow Grouse,Lagopede des saules,Lagopodo Comun
349,Lagopus muta,Rock Ptarmigan,Lagopede alpin,Lagopodo Alpino
350,Lagopus leucura,White-tailed Ptarmigan,Lagopede a queue blanche,Lagopodo Coliblanco
351,Dendragapus obscurus,Dusky Grouse,Tetras sombre,Gallo Oscuro
352,Dendragapus fuliginosus,Sooty Grouse,Tetras fuligineux,Gallo Fuliginoso
353,Falcipennis falcipennis,Siberian Grouse,Tetras de Siberie,Gallo Siberiano
354,Falcipennis canadensis,Spruce Grouse,NA,NA
355,Falcipennis franklinii,Franklin's Grouse,NA,NA
356,Tetrao urogallus,Western Capercaillie,Grand Tetras,Urogallo Comun
357,Tetrao urogalloides,Black-billed Capercaillie,Tetras a bec noir,Urogallo Piquinegro
358,Lyrurus tetrix,Black Grouse,Tetras lyre,Gallo Lira Comun
359,Lyrurus mlokosiewiczi,Caucasian Grouse,Tetras du Caucase,Gallo Lira Caucasiano
360,Centrocercus urophasianus,Sage Grouse,Tetras des armoises,Gallo de Las Artemisas Grande
361,Centrocercus minimus,Gunnison Grouse,Tetras du Gunnison,Gallo de Las Artemisas Chico
362,Tympanuchus phasianellus,Sharp-tailed Grouse,Tetras a queue fine,Gallo de Las Praderas Rabudo
363,Tympanuchus cupido,Greater Prairie-chicken,Tetras des prairies,Gallo de Las Praderas Grande
364,Tympanuchus pallidicinctus,Lesser Prairie-chicken,Tetras pale,Gallo de Las Praderas Chico
365,Anhima cornuta,Horned Screamer,Kamichi cornu,Chaja Anuma
366,Chauna chavaria,Northern Screamer,Kamichi chavaria,Chaja Chicaguire
367,Chauna torquata,Southern Screamer,Kamichi a collier,Chaja Comun
368,Anseranas semipalmata,Magpie Goose,Canaroie semipalmee,Ganso Urraca
369,Dendrocygna viduata,White-faced Whistling-duck,Dendrocygne veuf,Suiriri Cariblanco
370,Dendrocygna autumnalis,Black-bellied Whistling-duck,Dendrocygne a ventre noir,Suiriri Piquirrojo
371,Dendrocygna guttata,Spotted Whistling-duck,Dendrocygne tachete,Suiriri Moteado
372,Dendrocygna arborea,West Indian Whistling-duck,Dendrocygne des Antilles,Suiriri Yaguaza
373,Dendrocygna bicolor,Fulvous Whistling-duck,Dendrocygne fauve,Suiriri Bicolor
374,Dendrocygna eytoni,Plumed Whistling-duck,Dendrocygne d'Eyton,Suiriri Australiano
375,Dendrocygna arcuata,Wandering Whistling-duck,Dendrocygne a lunules,Suiriri Capirotado
376,Dendrocygna javanica,Lesser Whistling-duck,Dendrocygne siffleur,Suiriri de Java
377,Thalassornis leuconotus,White-backed Duck,Dendrocygne a dos blanc,Pato Dorsiblanco
378,Heteronetta atricapilla,Black-headed Duck,Heteronette a tete noire,Pato Rinconero
379,Nomonyx dominicus,Masked Duck,erismature routoutou,Malvasia Enmascarada
380,Oxyura jamaicensis,Ruddy Duck,erismature rousse,Malvasia Canela
381,Oxyura ferruginea,Andean Duck,erismature des Andes,Malvasia Andina
382,Oxyura vittata,Lake Duck,erismature ornee,Malvasia Argentina
383,Oxyura australis,Blue-billed Duck,erismature australe,Malvasia Australiana
384,Oxyura maccoa,Maccoa Duck,erismature maccoa,Malvasia Maccoa
385,Oxyura leucocephala,White-headed Duck,erismature a tete blanche,Malvasia Cabeciblanca
386,Biziura lobata,Musk Duck,erismature a barbillons,Malvasia Papuda
387,Malacorhynchus membranaceus,Pink-eared Duck,Malacorhynque a oreilles roses,Pato Pachon
388,Stictonetta naevosa,Freckled Duck,Stictonette tachetee,Pato Pecoso
389,Cereopsis novaehollandiae,Cape Barren Goose,Cereopse cendre,Ganso Cenizo
390,Coscoroba coscoroba,Coscoroba Swan,Coscoroba blanc,Cisne Coscoroba
391,Cygnus melancoryphus,Black-necked Swan,Cygne a cou noir,Cisne Cuellinegro
392,Cygnus atratus,Black Swan,Cygne noir,Cisne Negro
393,Cygnus olor,Mute Swan,Cygne tubercule,Cisne Vulgar
394,Cygnus buccinator,Trumpeter Swan,Cygne trompette,Cisne Trompetero
395,Cygnus cygnus,Whooper Swan,Cygne chanteur,Cisne Cantor
396,Cygnus columbianus,Tundra Swan,Cygne siffleur,Cisne Chico
397,Branta bernicla,Brent Goose,Bernache cravant,Barnacla Carinegra
398,Branta leucopsis,Barnacle Goose,Bernache nonnette,Barnacla Cariblanca
399,Branta ruficollis,Red-breasted Goose,Bernache a cou roux,Barnacla Cuellirroja
400,Branta hutchinsii,Cackling Goose,Bernache de Hutchins,Barnacla Canadiense Chica
401,Branta canadensis,Canada Goose,Bernache du Canada,Barnacla Canadiense Grande
402,Branta sandvicensis,Hawaiian Goose,Bernache nene,Barnacla Nene
403,Anser canagicus,Emperor Goose,Oie empereur,ansar Emperador
404,Anser caerulescens,Snow Goose,Oie des neiges,ansar Nival
405,Anser rossii,Ross's Goose,Oie de Ross,ansar de Ross
406,Anser indicus,Bar-headed Goose,Oie a tete barree,ansar Indio
407,Anser anser,Greylag Goose,Oie cendree,ansar Comun
408,Anser cygnoid,Swan Goose,NA,NA
409,Anser fabalis,Bean Goose,Oie des moissons,ansar Campestre de La Taiga
410,Anser brachyrhynchus,Pink-footed Goose,Oie a bec court,ansar Piquicorto
411,Anser albifrons,Greater White-fronted Goose,Oie rieuse,ansar Careto
412,Anser erythropus,Lesser White-fronted Goose,Oie naine,ansar Chico
413,Clangula hyemalis,Long-tailed Duck,Harelde kakawi,Pato Havelda
414,Somateria fischeri,Spectacled Eider,Eider a lunettes,eider de Anteojos
415,Somateria spectabilis,King Eider,Eider a tete grise,eider Real
416,Somateria mollissima,Common Eider,Eider a duvet,eider Comun
417,Polysticta stelleri,Steller's Eider,Eider de Steller,eider Menor
418,Melanitta perspicillata,Surf Scoter,Macreuse a front blanc,Negron Careto
419,Melanitta fusca,Velvet Scoter,Macreuse brune,Negron Especulado
420,Melanitta stejnegeri,Siberian Scoter,Macreuse de Siberie,Negron Siberiano
421,Melanitta deglandi,White-winged Scoter,Macreuse a ailes blanches,Negron Aliblanco
422,Melanitta nigra,Common Scoter,Macreuse noire,Negron Comun
423,Melanitta americana,Black Scoter,Macreuse a bec jaune,Negron Americano
424,Bucephala albeola,Bufflehead,Petit Garrot,Porron Albeola
425,Bucephala clangula,Common Goldeneye,Garrot a oeil d'or,Porron Osculado
426,Bucephala islandica,Barrow's Goldeneye,Garrot d'Islande,Porron Islandico
427,Mergellus albellus,Smew,Harle piette,Serreta Chica
428,Lophodytes cucullatus,Hooded Merganser,Harle couronne,Serreta Capuchona
429,Mergus merganser,Goosander,Grand Harle,Serreta Grande
430,Mergus squamatus,Scaly-sided Merganser,Harle de Chine,Serreta China
431,Mergus serrator,Red-breasted Merganser,Harle huppe,Serreta Mediana
432,Mergus octosetaceus,Brazilian Merganser,Harle huppard,Serreta Brasilena
433,Histrionicus histrionicus,Harlequin Duck,Arlequin plongeur,Pato Arlequin
434,Neochen jubata,Orinoco Goose,NA,NA
435,Chloephaga melanoptera,Andean Goose,NA,NA
436,Chloephaga picta,Upland Goose,Ouette de Magellan,Cauquen Comun
437,Chloephaga hybrida,Kelp Goose,Ouette marine,Cauquen Caranca
438,Chloephaga poliocephala,Ashy-headed Goose,Ouette a tete grise,Cauquen Cabecigris
439,Chloephaga rubidiceps,Ruddy-headed Goose,Ouette a tete rousse,Cauquen Colorado
440,Radjah radjah,Radjah Shelduck,Tadorne radjah,Tarro Raja
441,Alopochen aegyptiaca,Egyptian Goose,Ouette d'egypte,Ganso del Nilo
442,Tadorna tadorna,Common Shelduck,Tadorne de Belon,Tarro Blanco
443,Tadorna ferruginea,Ruddy Shelduck,Tadorne casarca,Tarro Canelo
444,Tadorna cana,South African Shelduck,Tadorne a tete grise,Tarro Sudafricano
445,Tadorna tadornoides,Australian Shelduck,Tadorne d'Australie,Tarro Australiano
446,Tadorna variegata,Paradise Shelduck,Tadorne de paradis,Tarro Maori
447,Tadorna cristata,Crested Shelduck,Tadorne de Coree,Tarro Crestado
448,Plectropterus gambensis,Spur-winged Goose,Oie-armee de Gambie,Ganso Espolonado
449,Cairina moschata,Muscovy Duck,Canard musque,Pato Criollo
450,Sarkidiornis sylvicola,American Comb Duck,Canard sylvicole,Pato Crestudo Americano
451,Sarkidiornis melanotos,African Comb Duck,Canard a bosse,Pato Crestudo Afroasiatico
452,Nettapus auritus,African Pygmy-goose,Anserelle naine,Gansito Africano
453,Nettapus coromandelianus,Cotton Pygmy-goose,Anserelle de Coromandel,Gansito Asiatico
454,Nettapus pulchellus,Green Pygmy-goose,Anserelle elegante,Gansito Australiano
455,Callonetta leucophrys,Ringed Teal,Canard a collier noir,Pato Acollarado
456,Aix sponsa,Wood Duck,Canard branchu,Pato Joyuyo
457,Aix galericulata,Mandarin Duck,Canard mandarin,Pato Mandarin
458,Chenonetta jubata,Maned Duck,Canard a criniere,Pato de Crin
459,Hymenolaimus malacorhynchos,Blue Duck,Canard bleu,Pato Azul
460,Merganetta armata,Torrent Duck,Merganette des torrents,Pato Torrentero
461,Pteronetta hartlaubii,Hartlaub's Duck,Pteronette de Hartlaub,Pato de Hartlaub
462,Cyanochen cyanoptera,Blue-winged Goose,Cyanoie a ailes bleues,Ganso Aliazul
463,Marmaronetta angustirostris,Marbled Teal,Marmaronette marbree,Cerceta Pardilla
464,Asarcornis scutulata,White-winged Duck,Nette a ailes blanches,Pato de Jungla
465,Netta rufina,Red-crested Pochard,Nette rousse,Pato Colorado
466,Netta peposaca,Rosy-billed Pochard,Nette demi-deuil,Pato Picazo
467,Netta erythrophthalma,Southern Pochard,Nette brune,Pato Morado
468,Aythya ferina,Common Pochard,Fuligule milouin,Porron Europeo
469,Aythya americana,Redhead,Fuligule a tete rouge,Porron Americano
470,Aythya valisineria,Canvasback,Fuligule a dos blanc,Porron Coacoxtle
471,Aythya australis,Hardhead,Fuligule austral,Porron Australiano
472,Aythya innotata,Madagascar Pochard,Fuligule de Madagascar,Porron Malgache
473,Aythya baeri,Baer's Pochard,Fuligule de Baer,Porron de Baer
474,Aythya nyroca,Ferruginous Duck,Fuligule nyroca,Porron Pardo
475,Aythya novaeseelandiae,New Zealand Scaup,Fuligule de Nouvelle-Zelande,Porron Maori
476,Aythya collaris,Ring-necked Duck,Fuligule a collier,Porron Acollarado
477,Aythya fuligula,Tufted Duck,Fuligule morillon,Porron Monudo
478,Aythya marila,Greater Scaup,Fuligule milouinan,Porron Bastardo
479,Aythya affinis,Lesser Scaup,Petit Fuligule,Porron Bola
480,Rhodonessa caryophyllacea,Pink-headed Duck,Nette a cou rose,Pato Cabecirrosado
481,Salvadorina waigiuensis,Salvadori's Teal,Canard de Salvadori,anade de Papua
482,Tachyeres patachonicus,Flying Steamerduck,Brassemer de Patagonie,Quetro Volador
483,Tachyeres leucocephalus,White-headed Steamerduck,Brassemer a tete blanche,Quetro Cabeciblanco
484,Tachyeres pteneres,Magellanic Steamerduck,Brassemer cendre,Quetro Austral
485,Tachyeres brachypterus,Falkland Steamerduck,Brassemer des Malouines,Quetro de Malvinas
486,Lophonetta specularioides,Crested Duck,Canard huppe,anade Juarjal
487,Speculanas specularis,Spectacled Duck,Canard a lunettes,anade Anteojillo
488,Amazonetta brasiliensis,Brazilian Teal,Canard amazonette,Pato Brasileno
489,Spatula querquedula,Garganey,Sarcelle d'ete,Cerceta Carretona
490,Spatula hottentota,Blue-billed Teal,Sarcelle a bec bleu,Cerceta Joi
491,Spatula puna,Puna Teal,Sarcelle de la puna,Cerceta de La Puna
492,Spatula versicolor,Silver Teal,Sarcelle bariolee,Cerceta Capuchina
493,Spatula platalea,Red Shoveler,Canard spatule,Cuchara Argentino
494,Spatula smithii,Cape Shoveler,Canard de Smith,Cuchara de El Cabo
495,Spatula rhynchotis,Australasian Shoveler,Canard bride,Cuchara Australiano
496,Spatula clypeata,Northern Shoveler,Canard souchet,Cuchara Comun
497,Spatula cyanoptera,Cinnamon Teal,Sarcelle cannelle,Cerceta Colorada
498,Spatula discors,Blue-winged Teal,Sarcelle a ailes bleues,Cerceta Aliazul
499,Sibirionetta formosa,Baikal Teal,Sarcelle elegante,Cerceta del Baikal
500,Mareca falcata,Falcated Duck,Canard a faucilles,Cerceta de Alfanjes
501,Mareca strepera,Gadwall,Canard chipeau,anade Friso
502,Mareca penelope,Eurasian Wigeon,Canard siffleur,Silbon Europeo
503,Mareca americana,American Wigeon,Canard d'Amerique,Silbon Americano
504,Mareca sibilatrix,Chiloe Wigeon,Canard de Chiloe,Silbon Overo
505,Anas sparsa,African Black Duck,Canard noiratre,anade Negro
506,Anas undulata,Yellow-billed Duck,Canard a bec jaune,anade Picolimon
507,Anas melleri,Meller's Duck,Canard de Meller,anade Malgache
508,Anas superciliosa,Pacific Black Duck,Canard a sourcils,anade Cejudo
509,Anas luzonica,Philippine Duck,Canard des Philippines,anade Filipino
510,Anas zonorhyncha,Chinese Spot-billed Duck,Canard de Chine,anade Picopinto Chino
511,Anas poecilorhyncha,Indian Spot-billed Duck,Canard a bec tachete,anade Picopinto Indio
512,Anas laysanensis,Laysan Duck,Canard de Laysan,anade de Laysan
513,Anas platyrhynchos,Mallard,Canard colvert,anade Azulon
514,Anas rubripes,American Black Duck,Canard noir,anade Sombrio
515,Anas fulvigula,Mottled Duck,Canard brun,anade Moteado
516,Anas wyvilliana,Hawaiian Duck,Canard des Hawai,anade Hawaiano
517,Anas albogularis,Andaman Teal,Sarcelle des Andaman,Cerceta de Andaman
518,Anas gibberifrons,Sunda Teal,Sarcelle grise,Cerceta de La Sonda
519,Anas gracilis,Grey Teal,Sarcelle australasienne,Cerceta Gris
520,Anas castanea,Chestnut Teal,Sarcelle rousse,Cerceta Castana
521,Anas chlorotis,Brown Teal,Sarcelle de Nouvelle-Zelande,Cerceta Maori
522,Anas aucklandica,Auckland Teal,Sarcelle des Auckland,Cerceta de Auckland
523,Anas nesiotis,Campbell Teal,Sarcelle de Campbell,Cerceta de Campbell
524,Anas bernieri,Madagascar Teal,Sarcelle de Bernier,Cerceta Malgache
525,Anas capensis,Cape Teal,Canard du Cap,Cerceta de El Cabo
526,Anas bahamensis,White-cheeked Pintail,Canard des Bahamas,anade Gargantillo
527,Anas erythrorhyncha,Red-billed Teal,Canard a bec rouge,anade Piquirrojo
528,Anas acuta,Northern Pintail,Canard pilet,anade Rabudo
529,Anas eatoni,Southern Pintail,Canard d'Eaton,anade Subantartico
530,Anas georgica,Yellow-billed Pintail,Canard a queue pointue,anade Maicero
531,Anas crecca,Common Teal,Sarcelle d'hiver,Cerceta Comun
532,Anas carolinensis,Green-winged Teal,NA,NA
533,Anas andium,Andean Teal,Sarcelle des Andes,Cerceta Andina
534,Anas flavirostris,Yellow-billed Teal,Sarcelle tachetee,Cerceta Barcina
535,Tachybaptus ruficollis,Little Grebe,Grebe castagneux,Zampullin Comun
536,Tachybaptus novaehollandiae,Australasian Grebe,Grebe australasien,Zampullin Australiano
537,Tachybaptus pelzelnii,Madagascar Grebe,Grebe malgache,Zampullin Malgache
538,Tachybaptus dominicus,Least Grebe,Grebe minime,Zampullin Macacito
539,Podilymbus podiceps,Pied-billed Grebe,Grebe a bec bigarre,Zampullin Picogrueso
540,Rollandia rolland,White-tufted Grebe,Grebe de Rolland,Zampullin Pimpollo
541,Rollandia microptera,Titicaca Grebe,Grebe microptere,Zampullin del Titicaca
542,Poliocephalus poliocephalus,Hoary-headed Grebe,Grebe argente,Zampullin Canoso
543,Poliocephalus rufopectus,New Zealand Grebe,Grebe de Nouvelle-Zelande,Zampullin Maori
544,Podiceps major,Great Grebe,Grand Grebe,Somormujo Macachon
545,Podiceps grisegena,Red-necked Grebe,Grebe jougris,Somormujo Cuellirrojo
546,Podiceps cristatus,Great Crested Grebe,Grebe huppe,Somormujo Lavanco
547,Podiceps auritus,Horned Grebe,Grebe esclavon,Zampullin Cuellirrojo
548,Podiceps nigricollis,Black-necked Grebe,Grebe a cou noir,Zampullin Cuellinegro
549,Podiceps juninensis,Northern Silvery Grebe,NA,NA
550,Podiceps occipitalis,Southern Silvery Grebe,Grebe aux belles joues,Zampullin Plateado
551,Podiceps taczanowskii,Junin Grebe,Grebe de Taczanowski,Zampullin del Junin
552,Podiceps gallardoi,Hooded Grebe,Grebe mitre,Zampullin Tobiano
553,Aechmophorus occidentalis,Western Grebe,Grebe elegant,Achichilique Comun
554,Aechmophorus clarkii,Clark's Grebe,Grebe a face blanche,Achichilique de Clark
555,Phoenicopterus roseus,Greater Flamingo,Flamant rose,Flamenco Comun
556,Phoenicopterus ruber,American Flamingo,Flamant des Caraibes,Flamenco Rojo
557,Phoenicopterus chilensis,Chilean Flamingo,Flamant du Chili,Flamenco Chileno
558,Phoeniconaias minor,Lesser Flamingo,Flamant nain,Flamenco Enano
559,Phoenicoparrus andinus,Andean Flamingo,Flamant des Andes,Parina Grande
560,Phoenicoparrus jamesi,Puna Flamingo,Flamant de James,Parina Chica
561,Phaethon aethereus,Red-billed Tropicbird,Phaeton a bec rouge,Rabijunco Etereo
562,Phaethon rubricauda,Red-tailed Tropicbird,Phaeton a brins rouges,Rabijunco Colirrojo
563,Phaethon lepturus,White-tailed Tropicbird,Phaeton a bec jaune,Rabijunco Menor
564,Rhynochetos jubatus,Kagu,Kagou huppe,Kagu
565,Eurypyga helias,Sunbittern,Caurale soleil,Tigana
566,Mesitornis variegatus,White-breasted Mesite,Mesite variee,Mesito Pechiblanco
567,Mesitornis unicolor,Brown Mesite,Mesite unicolore,Mesito Unicolor
568,Monias benschi,Subdesert Mesite,Mesite monias,Mesito Monias
569,Columba livia,Rock Dove,Pigeon biset,Paloma Bravia
570,Columba rupestris,Hill Pigeon,Pigeon des rochers,Paloma Rupestre
571,Columba leuconota,Snow Pigeon,Pigeon des neiges,Paloma Nival
572,Columba guinea,Speckled Pigeon,Pigeon roussard,Paloma de Guinea
573,Columba albitorques,White-collared Pigeon,Pigeon a collier blanc,Paloma Etiope
574,Columba oenas,Stock Dove,Pigeon colombin,Paloma Zurita
575,Columba eversmanni,Yellow-eyed Pigeon,Pigeon d'Eversmann,Paloma del Turquestan
576,Columba oliviae,Somali Pigeon,Pigeon de Somalie,Paloma Somali
577,Columba palumbus,Common Woodpigeon,Pigeon ramier,Paloma Torcaz
578,Columba trocaz,Madeira Laurel-pigeon,Pigeon trocaz,Paloma de Madeira
579,Columba bollii,Dark-tailed Laurel-pigeon,Pigeon de Bolle,Paloma Turque
580,Columba junoniae,White-tailed Laurel-pigeon,Pigeon des lauriers,Paloma Rabiche
581,Columba unicincta,Afep Pigeon,Pigeon gris,Paloma del Congo
582,Columba arquatrix,African Olive-pigeon,Pigeon rameron,Paloma Ojigualda
583,Columba sjostedti,Cameroon Olive-pigeon,Pigeon du Cameroun,Paloma del Camerun
584,Columba thomensis,Sao Tome Olive-pigeon,Pigeon de Sao Tome,Paloma de Santo Tome
585,Columba pollenii,Comoro Olive-pigeon,Pigeon des Comores,Paloma de Las Comoras
586,Columba hodgsonii,Speckled Woodpigeon,Pigeon de Hodgson,Paloma de Hodgson
587,Columba albinucha,White-naped Pigeon,Pigeon a nuque blanche,Paloma Nuquialba
588,Columba pulchricollis,Ashy Woodpigeon,Pigeon cendre,Paloma Cenicienta
589,Columba elphinstonii,Nilgiri Woodpigeon,Pigeon d'Elphinstone,Paloma de Los Nilgiris
590,Columba torringtoniae,Sri Lanka Woodpigeon,Pigeon de Ceylan,Paloma de Ceilan
591,Columba punicea,Pale-capped Pigeon,Pigeon marron,Paloma Purpurea
592,Columba argentina,Silvery Pigeon,Pigeon argente,Paloma Plateada
593,Columba palumboides,Andaman Woodpigeon,Pigeon des Andaman,Paloma de Andaman
594,Columba janthina,Japanese Woodpigeon,Pigeon violet,Paloma Japonesa
595,Columba vitiensis,Metallic Pigeon,Pigeon a gorge blanche,Paloma Gorjiblanca
596,Columba leucomela,White-headed Pigeon,Pigeon leucomele,Paloma Blanquinegra
597,Columba pallidiceps,Yellow-legged Pigeon,Pigeon a tete pale,Paloma Cabeciclara
