species_code,avibase_code,taxon_order,category,primary_com_name,cur_alternate_com_name,sci_name,com_name_locale_code
refpar3,avibase-821D0A48,12442,species,Red-fan Parrot,Papegeai maille,Deroptyus accipitrinus,fr
bltpar2,avibase-9DA59151,12445,species,Ochre-marked Parakeet,Conure tiriba,Pyrrhura cruentata,fr
blwpar2,avibase-BA656D05,12446,species,Blaze-winged Parakeet,Conure de Deville,Pyrrhura devillei,fr
mabpar,avibase-B24FFE53,12447,species,Maroon-bellied Parakeet,Conure de Vieillot,Pyrrhura frontalis,fr
mabpar2,avibase-CFE75F17,12448,issf,Maroon-bellied Parakeet (Maroon-tailed),Conure de Vieillot (frontalis),Pyrrhura frontalis frontalis,fr
mabpar1,avibase-90D6CECB,12449,issf,Maroon-bellied Parakeet (Green-tailed),Conure de Vieillot (chiripepe),Pyrrhura frontalis chiripepe,fr
peapar1,avibase-EF8A94AA,12450,species,Pearly Parakeet,Conure perlee,Pyrrhura lepida,fr
peapar2,avibase-86D0D03E,12451,issf,Pearly Parakeet (lepida),Conure perlee (lepida),Pyrrhura lepida lepida,fr
peapar3,avibase-E73880CF,12452,issf,Pearly Parakeet (anerythra),Conure perlee (anerythra),Pyrrhura lepida anerythra,fr
peapar4,avibase-0E061F1F,12453,issf,Pearly Parakeet (coerulescens),Conure perlee (coerulescens),Pyrrhura lepida coerulescens,fr
crbpar1,avibase-E93BACCC,12454,species,Crimson-bellied Parakeet,Conure a ventre rouge,Pyrrhura perlata,fr
gncpar,avibase-31679C53,12455,species,Green-cheeked Parakeet,Conure de Molina,Pyrrhura molinae,fr
pfrpar1,avibase-D84E3E9E,12462,species,Pfrimer's Parakeet,Conure de Pfrimer,Pyrrhura pfrimeri,fr
gybpar1,avibase-807B89E7,12463,species,Gray-breasted Parakeet,Conure a poitrine grise,Pyrrhura griseipectus,fr
mafpar3,avibase-007B7943,12464,species,Maroon-faced Parakeet,Conure leucotique,Pyrrhura leucotis,fr
mafpar2,avibase-809CE30B,12465,slash,Gray-breasted/Maroon-faced Parakeet,Conure a poitrine grise ou C. leucotique,Pyrrhura griseipectus/leucotis,fr
paipar1,avibase-97D2F366,12466,species,Painted Parakeet,Conure versicolore,Pyrrhura picta,fr
paipar3,avibase-E0425FD0,12467,issf,Painted Parakeet (Azuero),Conure versicolore (eisenmanni),Pyrrhura picta eisenmanni,fr
paipar4,avibase-FD549DD7,12468,issf,Painted Parakeet (Sinu),Conure versicolore (subandina),Pyrrhura picta subandina,fr
paipar5,avibase-FA4A412F,12469,issf,Painted Parakeet (Todd's),Conure versicolore (caeruleiceps),Pyrrhura picta caeruleiceps,fr
paipar6,avibase-070AE2DC,12470,issf,Painted Parakeet (Venezuelan),Conure versicolore (emma),Pyrrhura picta emma,fr
paipar2,avibase-BDCBDAC0,12471,issf,Painted Parakeet (Painted),Conure versicolore (picta),Pyrrhura picta picta,fr
sanpar2,avibase-A950292F,12472,species,Santarem Parakeet,Conure de Hellmayr,Pyrrhura amazonum,fr
sanpar3,avibase-C7D833ED,12473,issf,Santarem Parakeet (Santarem),Conure de Hellmayr (amazonum),Pyrrhura amazonum amazonum,fr
sanpar4,avibase-72FB9079,12474,issf,Santarem Parakeet (Madeira),Conure de Hellmayr (snethlageae),Pyrrhura amazonum snethlageae,fr
sanpar5,avibase-78F55BC5,12475,issf,Santarem Parakeet (Cristalino),Conure de Hellmayr (lucida),Pyrrhura amazonum lucida,fr
bonpar1,avibase-E8C9403D,12476,species,Bonaparte's Parakeet,Conure de Bonaparte,Pyrrhura lucianii,fr
rofpar3,avibase-49E8DCEF,12477,species,Rose-fronted Parakeet,Conure rougissante,Pyrrhura roseifrons,fr
rofpar5,avibase-04138BA8,12478,issf,Rose-fronted Parakeet (Wavy-breasted),Conure rougissante (peruviana/dilutissima),Pyrrhura roseifrons peruviana/dilutissima,fr
rofpar1,avibase-1CC33853,12481,issf,Rose-fronted Parakeet (Garlepp's),Conure rougissante (parvifrons),Pyrrhura roseifrons parvifrons,fr
rofpar4,avibase-61F21598,12482,issf,Rose-fronted Parakeet (Rose-fronted),Conure rougissante (roseifrons),Pyrrhura roseifrons roseifrons,fr
sampar1,avibase-2997FB71,12483,species,Santa Marta Parakeet,Conure de Santa Marta,Pyrrhura viridicata,fr
fispar1,avibase-4B5C48AC,12484,species,Fiery-shouldered Parakeet,Conure aile-de-feu,Pyrrhura egregia,fr
matpar2,avibase-EE73418A,12487,species,Maroon-tailed Parakeet,Conure de Souance,Pyrrhura melanura,fr
matpar4,avibase-97CCB702,12488,issf,Maroon-tailed Parakeet (Choco),Conure de Souance (pacifica),Pyrrhura melanura pacifica,fr
matpar5,avibase-7A638784,12489,issf,Maroon-tailed Parakeet (Huila),Conure de Souance (chapmani),Pyrrhura melanura chapmani,fr
matpar3,avibase-FC969B5D,12490,issf,Maroon-tailed Parakeet (Maroon-tailed),Conure de Souance (groupe melanura),Pyrrhura melanura [melanura Group],fr
elopar1,avibase-9C41D7C0,12494,species,El Oro Parakeet,Conure d'Orces,Pyrrhura orcesi,fr
blcpar1,avibase-B3FCD547,12495,species,Black-capped Parakeet,Conure a cape noire,Pyrrhura rupicola,fr
whnpar1,avibase-832FDAFE,12498,species,White-necked Parakeet,Conure a col blanc,Pyrrhura albipectus,fr
brbpar2,avibase-4F34A55C,12499,species,Brown-breasted Parakeet,Conure a poitrine brune,Pyrrhura calliptera,fr
reepar1,avibase-3CACB009,12500,species,Red-eared Parakeet,Conure a oreillons,Pyrrhura hoematotis,fr
rohpar1,avibase-B59DC31F,12503,species,Rose-headed Parakeet,Conure tete-de-feu,Pyrrhura rhodocephala,fr
suwpar1,avibase-854F3163,12504,species,Sulphur-winged Parakeet,Conure de Hoffmann,Pyrrhura hoffmanni,fr
pyrrhu1,avibase-D579BA0D,12507,spuh,Pyrrhura sp.,Pyrrhura sp.,Pyrrhura sp.,fr
auspar1,avibase-7A8B7C27,12508,species,Austral Parakeet,Conure magellanique,Enicognathus ferrugineus,fr
slbpar1,avibase-534CC52A,12511,species,Slender-billed Parakeet,Conure a long bec,Enicognathus leptorhynchus,fr
y00877,avibase-A83E7917,12512,slash,Austral/Slender-billed Parakeet,Conure magellanique ou C. a long bec,Enicognathus ferrugineus/leptorhynchus,fr
burpar,avibase-1A7D8F6B,12513,species,Burrowing Parakeet,Conure de Patagonie,Cyanoliseus patagonus,fr
burpar1,avibase-68834B76,12514,issf,Burrowing Parakeet (Olive),Conure de Patagonie (andinus),Cyanoliseus patagonus andinus,fr
burpar3,avibase-89E0E4CA,12515,issf,Burrowing Parakeet (Burrowing),Conure de Patagonie (patagonus/conlara),Cyanoliseus patagonus patagonus/conlara,fr
burpar2,avibase-901FF756,12518,issf,Burrowing Parakeet (Chilean),Conure de Patagonie (bloxami),Cyanoliseus patagonus bloxami,fr
hyamac1,avibase-3B7073D1,12519,species,Hyacinth Macaw,Ara hyacinthe,Anodorhynchus hyacinthinus,fr
glamac1,avibase-6DCCF66C,12520,species,Glaucous Macaw,Ara glauque,Anodorhynchus glaucus,fr
indmac1,avibase-FF910F60,12521,species,Indigo Macaw,Ara de Lear,Anodorhynchus leari,fr
thbpar,avibase-6D621EA2,12522,species,Thick-billed Parrot,Conure a gros bec,Rhynchopsitta pachyrhyncha,fr
mafpar1,avibase-277579A3,12523,species,Maroon-fronted Parrot,Conure a front brun,Rhynchopsitta terrisi,fr
oltpar1,avibase-31172F88,12524,species,Olive-throated Parakeet,Conure naine,Eupsittula nana,fr
oltpar2,avibase-A77D5C74,12525,issf,Olive-throated Parakeet (Aztec),Conure naine (astec/vicinalis),Eupsittula nana astec/vicinalis,fr
oltpar3,avibase-BCBE9A76,12528,issf,Olive-throated Parakeet (Jamaican),Conure naine (nana),Eupsittula nana nana,fr
orfpar,avibase-71F8EC07,12529,species,Orange-fronted Parakeet,Conure a front rouge,Eupsittula canicularis,fr
pefpar1,avibase-B7D06CF9,12533,species,Peach-fronted Parakeet,Conure couronnee,Eupsittula aurea,fr
brtpar1,avibase-C9664259,12534,species,Brown-throated Parakeet,Conure cuivree,Eupsittula pertinax,fr
bntpar1,avibase-7B515691,12535,issf,Brown-throated Parakeet (Veraguas),Conure cuivree (ocularis),Eupsittula pertinax ocularis,fr
bntpar2,avibase-1B5820FE,12536,issf,Brown-throated Parakeet (Brown-throated),Conure cuivree (groupe pertinax),Eupsittula pertinax [pertinax Group],fr
cacpar1,avibase-5652A345,12550,species,Cactus Parakeet,Conure des cactus,Eupsittula cactorum,fr
carpar,avibase-90002523,12553,species,Carolina Parakeet,Conure de Caroline,Conuropsis carolinensis,fr
duhpar,avibase-02C13BB0,12554,species,Dusky-headed Parakeet,Conure de Weddell,Aratinga weddellii,fr
bkhpar,avibase-8B85CB2C,12555,species,Nanday Parakeet,Conure nanday,Aratinga nenday,fr
sunpar1,avibase-4D5DF222,12556,species,Sun Parakeet,Conure soleil,Aratinga solstitialis,fr
subpar1,avibase-735E9E38,12557,species,Sulphur-breasted Parakeet,Conure de Pinto,Aratinga maculata,fr
janpar1,avibase-29F9CF96,12558,species,Jandaya Parakeet,Conure jandaya,Aratinga jandaya,fr
gocpar2,avibase-58CCB269,12559,species,Golden-capped Parakeet,Conure a tete d'or,Aratinga auricapillus,fr
spimac1,avibase-FB8F32C3,12562,species,Spix's Macaw,Ara de Spix,Cyanopsitta spixii,fr
rebmac2,avibase-9A5F4D95,12563,species,Red-bellied Macaw,Ara macavouanne,Orthopsittaca manilatus,fr
buwmac1,avibase-A6B715E5,12564,species,Blue-winged Macaw,Ara d'Illiger,Primolius maracana,fr
buhmac1,avibase-5162EBDF,12565,species,Blue-headed Macaw,Ara de Coulon,Primolius couloni,fr
yecmac,avibase-50E2CC40,12566,species,Yellow-collared Macaw,Ara a collier jaune,Primolius auricollis,fr
baymac,avibase-18AEC353,12567,species,Blue-and-yellow Macaw,Ara bleu,Ara ararauna,fr
bltmac1,avibase-EFF095BD,12568,species,Blue-throated Macaw,Ara caninde,Ara glaucogularis,fr
chfmac1,avibase-25BE1729,12569,species,Chestnut-fronted Macaw,Ara vert,Ara severus,fr
cubmac1,avibase-A5504B38,12570,species,Cuban Macaw,Ara tricolore,Ara tricolor,fr
refmac1,avibase-929DECF1,12571,species,Red-fronted Macaw,Ara de Lafresnaye,Ara rubrogenys,fr
milmac,avibase-50C9E950,12572,species,Military Macaw,Ara militaire,Ara militaris,fr
grgmac,avibase-8C233878,12576,species,Great Green Macaw,Ara de Buffon,Ara ambiguus,fr
scamac1,avibase-5B015EDA,12579,species,Scarlet Macaw,Ara rouge,Ara macao,fr
x00888,avibase-2FD21D0D,12582,hybrid,Blue-and-yellow x Scarlet Macaw (hybrid),Hybride Ara bleu x A. rouge,Ara ararauna x macao,fr
x00405,avibase-B0DA91C2,12583,hybrid,Great Green x Scarlet Macaw (hybrid),Hybride Ara de Buffon x A. rouge,Ara ambiguus x macao,fr
ragmac1,avibase-5DBFB188,12584,species,Red-and-green Macaw,Ara chloroptere,Ara chloropterus,fr
x00406,avibase-F2608C02,12585,hybrid,Blue-and-yellow x Red-and-green Macaw (hybrid),Hybride Ara bleu x A. chloroptere,Ara ararauna x chloropterus,fr
y00792,avibase-9041CFF4,12586,slash,Scarlet/Red-and-green Macaw,Ara rouge ou A. chloroptere,Ara macao/chloropterus,fr
larmac1,avibase-6E326088,12587,spuh,large macaw sp.,Ara sp.,Ara sp.,fr
goppar1,avibase-B6D7DD31,12588,species,Golden-plumed Parakeet,Conure a pinceaux d'or,Leptosittaca branickii,fr
yeepar1,avibase-BCCB23F5,12589,species,Yellow-eared Parrot,Conure a joues d'or,Ognorhynchus icterotis,fr
golpar3,avibase-1F894CC3,12590,species,Golden Parakeet,Conure doree,Guaruba guarouba,fr
bucpar,avibase-4BE8E5F1,12591,species,Blue-crowned Parakeet,Conure a tete bleue,Thectocercus acuticaudatus,fr
bucpar1,avibase-EA4F9775,12592,issf,Blue-crowned Parakeet (Blue-crowned),Conure a tete bleue (groupe haemorrhous),Thectocercus acuticaudatus [haemorrhous Group],fr
bucpar9,avibase-5F0A17BD,12596,issf,Blue-crowned Parakeet (Blue-headed),Conure a tete bleue (acuticaudatus/neumanni),Thectocercus acuticaudatus acuticaudatus/neumanni,fr
resmac2,avibase-A4E6B481,12599,species,Red-shouldered Macaw,Ara noble,Diopsittaca nobilis,fr
resmac1,avibase-D06F2AAA,12600,issf,Red-shouldered Macaw (Northern),Ara noble (nobilis),Diopsittaca nobilis nobilis,fr
resmac3,avibase-44D986EC,12601,issf,Red-shouldered Macaw (Southern),Ara noble (cumanensis/longipennis),Diopsittaca nobilis cumanensis/longipennis,fr
smamac1,avibase-03F3DBC2,12604,spuh,small macaw sp.,Petit Ara sp.,Orthopsittaca/Primolius/Diopsittaca sp.,fr
grnpar,avibase-67D6698A,12605,species,Green Parakeet,Conure verte,Psittacara holochlorus,fr
