,keyword,en_count,en_mean
2389,Spotted Shag,390,1.75
2390,Spotted Tanager,844,3.78
2391,Spotted Thick-knee,1068,4.79
2392,Spotted Towhee,4157,18.64
2393,Spotted Wren,1113,4.99
2394,Spruce Grouse,5711,25.61
2395,Spur-winged Goose,2238,10.04
2396,Spur-winged Lapwing,533,2.39
2397,Squacco Heron,1703,7.64
2398,Squatter Pigeon,1247,5.59
2399,Sri Lanka Blue Magpie,871,3.91
2400,Sri Lanka Frogmouth,1681,7.54
2401,Sri Lanka Junglefowl,2260,10.13
2402,St Lucia Amazon,5723,25.66
2403,St Vincent Amazon,5633,25.26
2404,Standard-winged Nightjar,500,2.24
2405,Standardwing Bird-of-paradise,340,1.52
2406,Star Finch,4355,19.53
2407,Steller's Eider,891,4.00
2408,Steller's Jay,3816,17.11
2409,Steppe Eagle,5962,26.74
2410,Stewart Shag,3341,14.98
2411,Stilt Sandpiper,3950,17.71
2412,Stitchbird,2739,12.28
2413,Stock Dove,6075,27.24
2414,Stone Partridge,2348,10.53
2415,Stork-billed Kingfisher,2535,11.37
2416,Strange-tailed Tyrant,328,1.47
2417,Strange Weaver,3547,15.91
2418,Straw-headed Bulbul,779,3.49
2419,Straw-necked Ibis,1469,6.59
2420,Streak-backed Oriole,455,2.04
2421,Streak-eared Bulbul,987,4.43
2422,Streak-throated Swallow,787,3.53
2423,Streaked Bulbul,415,1.86
2424,Streaked Laughingthrush,2148,9.63
2425,Streaked Spiderhunter,1566,7.02
2426,Streaked Weaver,1715,7.69
2427,Striated Caracara,1338,6.00
2428,Striated Grassbird,1109,4.97
2429,Striated Pardalote,3028,13.58
2430,Striped Crake,349,1.57
2431,Striped Cuckoo,3041,13.64
2432,Striped Kingfisher,1346,6.04
2433,Striped Owl,4463,20.01
2434,Striped Sparrow,3213,14.41
2435,Striped Woodpecker,1741,7.81
2436,Stubble Quail,1409,6.32
2437,Stygian Owl,718,3.22
2438,Sulawesi Pitta,991,4.44
2439,Sulphur-bellied Warbler,447,2.00
2440,Sulphur-breasted Warbler,535,2.40
2441,Sulphur-crested Cockatoo,3792,17.00
2442,Sultan Tit,1969,8.83
2443,Sulu Hornbill,1117,5.01
2444,Sumatran Ground-cuckoo,371,1.66
2445,Sumba Hornbill,326,1.46
2446,Summer Tanager,2887,12.95
2447,Sun Lark,3680,16.50
2448,Sun Parakeet,5922,26.56
2449,Sunbittern,3342,14.99
2450,Sunda Blue Robin,2068,9.27
2451,Sunda Frogmouth,256,1.15
2452,Sunda Thrush,1333,5.98
2453,Sungrebe,762,3.42
