,keyword,mean
668,Collared Trogon,4.488789238
669,Comb-crested Jacana,3.278026906
670,Common Babbler,16.73542601
671,Common Black Hawk,11.30493274
672,Common Bronzewing,5.937219731
673,Common Bulbul,22.72197309
674,Common Buttonquail,6.488789238
675,Common Chaffinch,8.668161435
676,Common Chiffchaff,6.103139013
677,Common Coot,12.44394619
678,Common Crane,31.62331839
679,Common Cuckoo,30.04035874
680,Common Eider,17.4573991
681,Common Emu,14.7264574
682,Common Firecrest,6.192825112
683,Common Fiscal,28.9103139
684,Common Flameback,5.802690583
685,Common Gallinule,22.87443946
686,Common Goldeneye,16.43049327
687,Common Grackle,20.58744395
688,Common Green Magpie,14.8161435
689,Common Greenshank,7.381165919
690,Common Hill Myna,13.52017937
691,Common Hoopoe,18.39013453
692,Common Iora,17.78475336
693,Common Kestrel,13.84753363
694,Common Kingfisher,26.07623318
695,Common Linnet,1.69058296
696,Common Loon,22.67264574
697,Common Miner,14.92825112
698,Common Moorhen,32.55605381
699,Common Murre,15.38565022
700,Common Myna,29.80269058
701,Common Nighthawk,18.75784753
702,Common Nightingale,22.93721973
703,Common Ostrich,15.56502242
704,Common Pheasant,32.51121076
705,Common Pochard,12.84753363
706,Common Poorwill,13.53363229
707,Common Potoo,7.062780269
708,Common Quail,18.39013453
709,Common Raven,29.98654709
710,Common Redshank,18.22869955
711,Common Redstart,10.57847534
712,Common Ringed Plover,11.46636771
713,Common Rosefinch,13.68161435
714,Common Sandpiper,30.8161435
715,Common Scoter,15.79820628
716,Common Shelduck,5.156950673
717,Common Snipe,20.30044843
718,Common Starling,18.79372197
719,Common Stonechat,7.179372197
720,Common Swift,30.6367713
721,Common Tailorbird,17.93273543
722,Common Teal,24.93273543
723,Common Tern,27.11210762
724,Common Waxbill,10.24215247
725,Common White Tern,4.802690583
726,Common Woodshrike,7.103139013
727,Common Yellowthroat,20.40358744
728,Compact Weaver,11.17488789
729,Congo Peafowl,12.14798206
730,Connecticut Warbler,9.946188341
731,Cook's Petrel,4.013452915
732,Cooper's Hawk,36.78026906
733,Copper Pheasant,16.5426009
734,Coppersmith Barbet,17.34080717
735,Coppery-headed Emerald,0.941704036
736,Cordilleran Flycatcher,5.573991031
737,Corn Bunting,22.47085202
738,Corncrake,36.33632287
739,Coscoroba Swan,8.735426009
740,Costa's Hummingbird,8.883408072
741,Cozumel Thrasher,0.975336323
