"","family","year","n"
"632","Irenidae",2017,5785
"633","Diomedeidae",2008,42908
"634","Timaliidae",2016,39011
"635","Corvidae",2014,3266503
"636","Estrildidae",2014,99996
"637","Muscicapidae",2006,329210
"638","Phaethontidae",2010,2869
"639","Procellariidae",2005,35550
"640","Phasianidae",2005,98447
"641","Phylloscopidae",2004,149887
"642","Turdidae",2004,342919
"643","Odontophoridae",2006,22902
"644","Dicaeidae",2007,7452
"645","Sylviidae",2006,187451
"646","Pellorneidae",2017,28400
"647","Nectariniidae",2017,208586
"648","Monarchidae",2008,37273
"649","Threskiornithidae",2013,241775
"650","Procellariidae",2004,40195
"651","Diomedeidae",2007,24562
"652","Ramphastidae",2019,160499
"653","Corvidae",2005,507655
"654","Troglodytidae",2014,1083418
"655","Cacatuidae",2005,1051
"656","Cardinalidae",2006,251908
"657","Strigidae",2006,95335
"658","Phylloscopidae",2007,219253
"659","Monarchidae",2018,173826
"660","Furnariidae",2008,35497
"661","Thamnophilidae",2008,23421
"662","Pipridae",2004,4404
"663","Falconidae",2006,191010
"664","Tytonidae",2010,12938
"665","Remizidae",2009,14447
"666","Estrildidae",2012,69906
"667","Cotingidae",2013,24909
"668","Emberizidae",2004,521177
"669","Timaliidae",2006,8685
"670","Pipridae",2006,4703
"671","Pelecanoididae",2006,149
"672","Thinocoridae",2005,178
"673","Nectariniidae",2007,20713
"674","Pycnonotidae",2006,32357
"675","Passeridae",2008,304957
"676","Columbidae",2006,545014
"677","Sylviidae",2004,136320
"678","Parulidae",2007,511724
"679","Troglodytidae",2005,169679
"680","Troglodytidae",2004,139106
"681","Thamnophilidae",2005,15195
"682","Columbidae",2014,2339221
"683","Icteridae",2009,651785
"684","Bucorvidae",2014,1264
"685","Dicaeidae",2010,9059
"686","Alaudidae",2007,109499
"687","Odontophoridae",2010,43944
"688","Maluridae",2014,51108
"689","Zosteropidae",2006,23903
"690","Psittacidae",2016,594071
"691","Furnariidae",2013,67853
"692","Psittacidae",2007,147983
"693","Thraupidae",2012,137260
"694","Turdidae",2014,2317310
"695","Timaliidae",2017,40761
"696","Pycnonotidae",2018,419837
"697","Numididae",2016,23454
"698","Tyrannidae",2011,690526
"699","Cardinalidae",2007,317647
"700","Ciconiidae",2014,118727
"701","Bucerotidae",2014,27810
"702","Spheniscidae",2014,4123
"703","Procellariidae",2012,73180
"704","Cisticolidae",2016,270148
"705","Psittacidae",2011,211166
"706","Psittacidae",2005,126613
"707","Lybiidae",2016,48837
"708","Sturnidae",2004,145413
"709","Trochilidae",2006,100293
"710","Recurvirostridae",2005,34723
"711","Cuculidae",2007,95316
"712","Turdidae",2006,499581
"713","Hydrobatidae",2004,9404
"714","Vireonidae",2005,82821
"715","Rhipiduridae",2016,114196
"716","Estrildidae",2006,34001
"717","Furnariidae",2010,47438
"718","Hirundinidae",2008,489519
"719","Accipitridae",2007,713538
"720","Ploceidae",2007,188104
"721","Trochilidae",2007,126137
"722","Corvidae",2004,438216
"723","Thraupidae",2004,50654
