species_code,avibase_code,taxon_order,category,primary_com_name,cur_alternate_com_name,sci_name,com_name_locale_code
crbgon1,avibase-9B33F957,19361,species,Crimson-breasted Gonolek,Bubu Pechirrojo,Laniarius atrococcineus,es
papgon1,avibase-1E5D636D,19362,species,Papyrus Gonolek,Bubu de Los Papiros,Laniarius mufumbiri,es
yebbou1,avibase-0D6B8ACA,19363,species,Yellow-breasted Boubou,Bubu Pechigualdo,Laniarius atroflavus,es
slcbou1,avibase-0868B50D,19364,species,Slate-colored Boubou,Bubu Funebre,Laniarius funebris,es
soobou1,avibase-3402C9BB,19367,species,Lowland Sooty Boubou,Bubu Sombrio,Laniarius leucorhynchus,es
wisbou1,avibase-6F6CFDE9,19368,species,Willard's Sooty Boubou,Bubu de Willard,Laniarius willardi,es
mosbou1,avibase-73E1A69A,19369,species,Western Boubou,Bubu Montano Occidental,Laniarius poensis,es
mosbou2,avibase-CD5DAEDF,19370,issf,Western Boubou (Cameroon),Bubu Montano Occidental (camerunensis),Laniarius poensis camerunensis,es
mosbou3,avibase-7D1FA59C,19371,issf,Western Boubou (Bioko),Bubu Montano Occidental (poensis),Laniarius poensis poensis,es
mosbou4,avibase-5E8D59E5,19372,species,Albertine Boubou,Bubu Montano,Laniarius holomelas,es
fuebou1,avibase-EA283BA8,19373,species,Fulleborn's Boubou,Bubu de Fulleborn,Laniarius fuelleborni,es
fuebou2,avibase-6772C7D5,19374,issf,Fulleborn's Boubou (Usambara),Bubu de Fulleborn (usambaricus),Laniarius fuelleborni usambaricus,es
fuebou3,avibase-9BCBD49A,19375,issf,Fulleborn's Boubou (Fulleborn's),Bubu de Fulleborn (fuelleborni),Laniarius fuelleborni fuelleborni,es
boubou1,avibase-5796E9FE,19376,spuh,boubou sp.,Bubu sp.,Laniarius sp.,es
ropbus1,avibase-8B8AC14A,19377,species,Rosy-patched Bushshrike,Bubu Pechirrosado,Rhodophoneus cruentus,es
bokmak1,avibase-D194C523,19382,species,Bokmakierie,Bubu Silbon,Telophorus zeylonus,es
bokmak2,avibase-40BD3337,19383,issf,Bokmakierie (Southern),Bubu Silbon (grupo zeylonus),Telophorus zeylonus [zeylonus Group],es
